DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W,area_id
1991,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1992,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1993,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1994,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1995,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1996,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1997,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1998,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1999,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2000,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2001,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2002,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2003,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2004,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2005,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2006,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2007,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2008,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2009,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2010,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2011,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2012,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2013,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2014,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2015,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2016,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2017,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2018,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
2019,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
